Status	Reason	SKU	ASIN	Product name	Condition	Status Change Date	Issue Description
Search Suppressed	Missing info	2P-FMP8-LAQ8	B07TMSMD4P	dpHUE Apple Cider Vinegar Volumizing Dry Shampoo, 5 oz - No Residue, No Sulfate, Dry Shampoo Spray with Dandelion & Lavender Extract	11	Jul 6, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	AO-2AZJ-OP9M	B0094GO9PI	Yaktrax Walker Traction Cleats for Snow and Ice, Black, Small	11	Jul 28, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	BB-LEIY-683Z	B09RZSZ4N7	The Mountains are Calling Graphic T-Shirt - NA136 Mustard	11	Jul 25, 2023	'[department]' is required but not supplied.
Search Suppressed	Missing info	BB-LEIY-683Z	B09RZSZ4N7	The Mountains are Calling Graphic T-Shirt - NA136 Mustard	11	Jul 25, 2023	'[color]' is required but not supplied.
Search Suppressed	Invalid information	BB-LEIY-683Z	B09RZSZ4N7	The Mountains are Calling Graphic T-Shirt - NA136 Mustard	11	Jul 25, 2023	We believe the main image has non-pure white background which is not permitted for this product type. Please submit a compliant image to lift the suppression. Also refer to Product image requirements.
Search Suppressed	Missing info	BN-FQ9R-F6CK	B079KJF7Y1	Libman Big Gator Mop	11	Jul 16, 2023	'[brand]' is required but not supplied.
Search Suppressed	Missing info	BN-FQ9R-F6CK	B079KJF7Y1	Libman Big Gator Mop	11	Jul 16, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Potential duplicate	BN-FQ9R-F6CK	B079KJF7Y1	Libman Big Gator Mop	11	Jul 16, 2023	This ASIN is a potential duplicate of ASIN B00FVZ9CJ4. Please review the ASINs and let us know whether both ASINs represent the same product or not.
Search Suppressed	Invalid information	FBA-PA-134	B00133F8VY	Frost King AWS2445 Not Available Adjustable Window Screen, 24in High x Fits 25-45in Wide, Clear	11	Jul 27, 2023	The item_name has following prohibited phrase(s) Not Available, which are not compliant with Amazon policy and should be removed from the item_name.
Search Suppressed	Missing info	FV-DOUG-S96H	B01NAWRZ3Q	Libman 00195 Microfiber Dust Mop6	11	Jul 16, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	H5-O7PP-445R	B08XYC36H8	Better Homes & Gardens Ventura Outdoor Kid's Stationary Egg Chair, Gray (Grey)	11	Jul 17, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	HQ-XNVG-RKT6	B0BFGC9WLS	Pacroban 14 Gal. 6.0-Peak HP NXT Wet/Dry Shop Vacuum with Fine Dust Filter, Hose, Accessories and Premium Car Cleaning Kit	11	Jul 17, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Potential duplicate	HQ-XNVG-RKT6	B0BFGC9WLS	Pacroban 14 Gal. 6.0-Peak HP NXT Wet/Dry Shop Vacuum with Fine Dust Filter, Hose, Accessories and Premium Car Cleaning Kit	11	Jul 17, 2023	This ASIN is a potential duplicate of ASIN B00CLATFTE. Please review the ASINs and let us know whether both ASINs represent the same product or not.
Search Suppressed	Missing info	IG-EWZA-YKOL	B07B6657ST	Vision Grills Large Premium Grill Cover Kamado	11	May 9, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	JW-UEU0-G7PN	B0B6SDSBWB	Gorilla Carts 4 Cu. Ft. 600 Lb. Poly Garden Cart	11	Jul 17, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-02d-d24ac-75767	B09WLKHS29	Bestway H2OGO! Comfort Plush Pool Lounge Float 43554E	11	May 8, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-02i-9fb78-68896	B005FAKWZI	Green Foods True Vitality Vanilla 25.2 Oz	11	Jul 17, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-036-50682-86347	B09RP2Z493	Five Queens Court Chianti Window Straight Valance, Red, 88X21.25	11	Jul 20, 2023	The main image is missing. Please submit a compliant image to lift the suppression. Also refer to Product image requirements.
Search Suppressed	Missing info	SP-03f-e58d1-707142	B01BUIS980	Trevco Mighty Mouse-Might Logo - Adult Pull-Over Hoodie - Red, 3X	11	Jul 13, 2023	'[color]' is required but not supplied.
Search Suppressed	Missing info	SP-03i-ad394-790213	B08FLG5MSP	Ruby Rd. Pullon Extra Stretch Denim Ankle Pant	11	Jul 24, 2023	The main image is missing. Please submit a compliant image to lift the suppression. Also refer to Product image requirements.
Search Suppressed	Missing info	SP-03o-e0733-252116	B01K1993PW	Knitter's Pride Knitting Needles Royale Circular 40 inch (100cm) Size 9 (5.5mm) Bundle with 10 Artsiga Crafts Stitch Markers 220178	11	Jul 20, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-04F-1c604-17248	B01KKJORE0	Integy RC Model C26660RED Alloy 12mm Hex-to-6 Bolt Type Wheel Hub 9mm Thick for 1/10 Axial Crawler	11	Jul 24, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-063-0787a-031156	B06XW77TW9	"Pillows" 11oz Vizsla Coffee Mug	11	Jul 17, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-08f-845b6-177280	B00RV333EO	StickerTalk Careful Please Baby On Board Magnet, 5 inches by 5 inches	11	Jul 24, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-09g-e4a5a-252175	B08HP6D71D	RCN Specialty Item, Coupe D-End Platter 8"W X 6-1/8"L X 1"H, Porcelain, White	11	Jul 20, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-09v-d2acd-778208	B018W23MVQ	Dremel 442-02 1/2" Steel Wire Brush 2 Pack	11	Jul 28, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-0Ed-50ba2-70273	B00JH2FZHK	Garfield I'M Used To It Newspaper Comic Short Sleeve Juniors V Neck T Shirt Tee	11	Jul 19, 2023	'[department]' is required but not supplied.
Search Suppressed	Missing info	SP-0Ed-50ba2-70273	B00JH2FZHK	Garfield I'M Used To It Newspaper Comic Short Sleeve Juniors V Neck T Shirt Tee	11	Jul 19, 2023	'[color]' is required but not supplied.
Search Suppressed	Missing info	SP-0En-7ea15-502159	B01NAGQR3F	SPI-Sport Part Front Motor Mount for Snowmobile Polaris SS 1984-1986	11	Jul 21, 2023	'[product_description]' is required but not supplied.
Search Suppressed	Missing info	SP-0JH-1420f-181117	B00W5ZAQ6Q	Always Be Yourself Sexy Fox Black Adult Long Sleeve T-Shirt - Large	11	Jul 24, 2023	'[color]' is required but not supplied.
